dns  10.10.10.10
ntp  10.10.10.123
exit1.n0  199.195.250.209

eth0-exit1.n0  199.195.250.209
l2tpeth1-exit1.n0  100.127.2.5
l2tpeth2-exit1.n0  100.127.2.9
l2tpeth3-exit1.n0  100.127.2.13
l2tpeth4-exit1.n0  100.127.2.21
l2tpeth5-exit1.n0  100.127.2.133
l2tpeth33-exit1.n0  100.127.2.177
l2tpeth44-exit1.n0  100.127.2.221
l2tpeth50-exit1.n0  100.127.2.229
l2tpeth55-exit1.n0  100.127.2.233
l2tpeth61-exit1.n0  100.127.2.237
l2tpeth62-exit1.n0  100.127.2.245
l2tpeth63-exit1.n0  100.127.2.249

sn1r1.sn1  100.64.10.1
sn1a1.sn1  100.64.10.2
sn1a2.sn1  100.64.11.2
sn1a3.sn1  100.64.12.2
sn1a4.sn1  100.64.13.2
l2tpeth33-sn1r1.sn1 100.127.2.134 
l2tpeth1-sn1r1.sn1 100.127.3.6
eth1-sn1r1.sn1  100.64.10.1
eth2-sn1r1.sn1  100.64.11.1
eth3-sn1r1.sn1  100.64.12.1
eth4-sn1r1.sn1  100.64.13.1

n4r1.n1  10.1.2.1
n1r1.n1  100.127.2.254
l2tpeth63-n1r1.n1 100.127.2.254
eth4-n1r1.n1  10.1.2.1
switch0-999-n1r1.n1  10.1.5.1
n1a1.n1  10.1.2.2
n1a2.n1  10.1.2.3
n4a3.n1  10.1.2.4
piaware.n1  10.1.2.11
mt258c.n1  10.1.2.254

n6r1.n6  10.1.6.1
eth0-n6r1.n6  10.1.6.1
l2tpeth50-n6r1.n6  100.127.2.202
wlxd8e7430411ce-n6r1.n6  10.1.6.129
mtc3b0.n6  10.1.5.254
